created_date,review_count
2026-03-03,1
2026-03-04,1
2026-03-07,1
2026-03-08,1
2026-03-09,1
2026-03-10,1
2026-03-13,2
2026-03-15,2
2026-03-17,1
2026-03-18,4
2026-03-19,1
2026-03-20,1
2026-03-21,2
2026-03-22,1
2026-03-23,1
2026-03-25,1
2026-03-26,2
2026-03-27,3
2026-03-28,2
2026-03-29,1
2026-04-01,1
2026-04-02,1
2026-04-04,1
2026-04-06,1
2026-04-07,4
2026-04-10,1
2026-04-11,1
2026-04-14,2
2026-04-15,1
2026-04-17,1
2026-04-19,1
2026-04-20,1
2026-04-21,1
2026-04-22,1
2026-04-24,3
2026-04-25,2
2026-04-26,3
2026-04-27,1
2026-04-28,4
2026-04-29,2
2026-04-30,7
2026-05-01,3
2026-05-02,6
2026-05-03,3
2026-05-04,5
2026-05-05,4
2026-05-06,4
2026-05-07,1
2026-05-08,3
2026-05-09,1
2026-05-10,5
2026-05-11,2
2026-05-12,6
2026-05-13,3
2026-05-14,8
2026-05-15,4
2026-05-16,5
2026-05-17,9
2026-05-18,5
2026-05-19,8
2026-05-20,7
2026-05-21,4
2026-05-22,2
2026-05-23,9
2026-05-24,5
2026-05-25,9
2026-05-26,6
2026-05-27,5
2026-05-28,1
